,Negative,Neutral,Positive
13984,0,1,0
13985,0,0.372,0.628
13986,0,0.328,0.672
13987,0,1,0
13988,0.688,0.312,0
13989,0.216,0.784,0
13990,0,1,0
13991,0,0.323,0.677
13992,0.733,0.267,0
13993,0,0.613,0.387
13994,0,1,0
13995,0,1,0
13996,0,0.868,0.132
13997,0,0.842,0.158
13998,0.076,0.828,0.096
13999,0,0.799,0.201
14000,0,0.668,0.332
14001,0,1,0
14002,0.688,0.312,0
14003,0,0.903,0.097
14004,0.138,0.688,0.175
14005,0,1,0
14006,0,1,0
14007,0.087,0.619,0.295
14008,0,0.611,0.389
14009,0,0.494,0.506
14010,0,0.722,0.278
14011,0.261,0.664,0.076
14012,0,1,0
14013,0.2,0.5,0.3
14014,0,1,0
14015,0.087,0.848,0.064
14016,0,0.579,0.421
14017,0.141,0.859,0
14018,0.129,0.627,0.244
14019,0,0.678,0.322
14020,0,0.734,0.266
14021,0,1,0
14022,0.252,0.598,0.151
14023,0.086,0.914,0
14024,0,1,0
14025,0,0.436,0.564
14026,0,1,0
14027,0,0.519,0.481
14028,0,0.417,0.583
14029,0,0.68,0.32
14030,0,1,0
14031,0,0.798,0.202
14032,0.333,0.667,0
14033,0,1,0
14034,0,0.828,0.172
14035,0,1,0
14036,0,0.408,0.592
14037,0,1,0
14038,0,1,0
14039,0,0.256,0.744
14040,0,0.263,0.737
14041,0,1,0
14042,0,0.58,0.42
14043,0,0.256,0.744
14044,0,0.408,0.592
14045,0,0.508,0.492
14046,0,0.408,0.592
14047,0,0.508,0.492
14048,0,0.408,0.592
14049,0,0,1
14050,0,0,1
14051,0,0.256,0.744
14052,0,0,1
14053,0,0.256,0.744
14054,0,0,1
14055,0,0.385,0.615
14056,0,0.256,0.744
14057,0,0,1
14058,0,0,1
14059,0,0,1
14060,0,0,1
14061,0,0,1
14062,0,0,1
14063,0,0.704,0.296
14064,0,0.633,0.367
14065,0,1,0
14066,0,0.521,0.479
14067,0,1,0
14068,0,1,0
14069,0,0.73,0.27
14070,0,0.495,0.505
14071,0,0.704,0.296
14072,0.127,0.873,0
14073,0,1,0
14074,0,0.539,0.461
14075,0,0.734,0.266
14076,0.215,0.652,0.133
14077,0,0.828,0.172
14078,0.191,0.809,0
14079,0,0.642,0.358
14080,0.255,0.745,0
14081,0,1,0
14082,0,1,0
14083,0,0.698,0.302
14084,0,1,0
14085,0,1,0
14086,0.535,0.465,0
14087,0,1,0
14088,0.148,0.714,0.138
14089,0.14,0.86,0
14090,0,0.748,0.252
14091,0,0.619,0.381
14092,0,0.83,0.17
14093,0.274,0.726,0
14094,0.117,0.883,0
14095,0.088,0.803,0.108
14096,0,1,0
14097,0.234,0.766,0
14098,0,1,0
14099,0,0.791,0.209
14100,0,1,0
14101,0.061,0.889,0.05
14102,0.242,0.485,0.273
14103,0,0.608,0.392
14104,0,1,0
14105,0.292,0.708,0
14106,0.025,0.732,0.243
14107,0.039,0.808,0.153
14108,0,0.687,0.313
14109,0,0.486,0.514
14110,0,1,0
14111,0,1,0
14112,0,0.632,0.368
14113,0.491,0.259,0.25
14114,0,0.231,0.769
14115,0,0.256,0.744
14116,0,0.204,0.796
14117,0,0.127,0.873
14118,0,0.568,0.432
14119,0,0.907,0.093
14120,0,0.385,0.615
14121,0,0.856,0.144
14122,0,0.849,0.151
14123,0.087,0.792,0.121
14124,0,0.782,0.218
14125,0.08,0.92,0
14126,0,0.543,0.457
14127,0,0.534,0.466
14128,0.182,0.248,0.57
14129,0,1,0
14130,0,1,0
14131,0,1,0
14132,0,0.196,0.804
14133,0,1,0
14134,0.129,0.791,0.079
14135,0,1,0
14136,0,1,0
14137,0.524,0.476,0
14138,0,0.375,0.625
14139,0.307,0.693,0
14140,0.545,0.455,0
14141,0,1,0
14142,0.295,0.705,0
14143,0.06,0.795,0.146
14144,0,0.899,0.101
14145,0,1,0
14146,0,1,0
14147,0,1,0
14148,0,1,0
14149,0,0.238,0.762
14150,0,0.59,0.41
14151,0,0,1
14152,0,0.587,0.413
14153,0,0.824,0.176
14154,0,1,0
14155,0,1,0
14156,0,1,0
14157,0,0.818,0.182
14158,0,0.814,0.186
14159,0,1,0
14160,0,0.569,0.431
14161,0.302,0.56,0.138
14162,0,0.678,0.322
14163,0,0.834,0.166
14164,0.234,0.593,0.173
14165,0.204,0.617,0.179
14166,0.369,0.631,0
14167,0.387,0.613,0
14168,0.152,0.848,0
14169,0,1,0
14170,0.524,0.476,0
14171,0,1,0
14172,0,0.572,0.428
14173,0,0.699,0.301
14174,0,0.602,0.398
14175,0,0.462,0.538
14176,0,1,0
14177,0.135,0.865,0
14178,0.688,0.312,0
14179,0,1,0
14180,0.239,0.761,0
14181,0.305,0.695,0
14182,0.155,0.845,0
14183,0,1,0
14184,0,1,0
14185,0.075,0.925,0
14186,0,0.887,0.113
14187,0.06,0.855,0.085
14188,0.099,0.747,0.155
14189,0,1,0
14190,0.195,0.805,0
14191,0,0.484,0.516
14192,0,1,0
14193,0,1,0
14194,0,1,0
14195,0,1,0
14196,0.136,0.864,0
14197,0,1,0
14198,0.491,0.509,0
14199,0,0.909,0.091
14200,0,1,0
14201,0,0.621,0.379
14202,0,0.738,0.262
14203,0,1,0
14204,0.109,0.891,0
14205,0.054,0.77,0.176
14206,0,1,0
14207,0,0.641,0.359
14208,0,0.385,0.615
14209,0,0.395,0.605
14210,0,1,0
14211,0.437,0.563,0
14212,0,0.769,0.231
14213,0.135,0.751,0.114
14214,0.252,0.748,0
14215,0,0.499,0.501
14216,0,0.651,0.349
14217,0.164,0.836,0
14218,0,1,0
14219,0,0.552,0.448
14220,0,0.42,0.58
14221,0,0.406,0.594
14222,0,0.534,0.466
14223,0,0.763,0.237
14224,0,0.726,0.274
14225,0,0.508,0.492
14226,0,0.488,0.512
14227,0,0.896,0.104
14228,0,0.423,0.577
14229,0,0.734,0.266
14230,0,0.339,0.661
14231,0.213,0.787,0
14232,0,1,0
14233,0,1,0
14234,0,1,0
14235,0.268,0.732,0
14236,0,0.328,0.672
14237,0,0.524,0.476
14238,0,1,0
14239,0,1,0
14240,0.097,0.839,0.065
14241,0.179,0.821,0
14242,0,1,0
14243,0,0.566,0.434
14244,0.059,0.941,0
14245,0,1,0
14246,0,1,0
14247,0,0.728,0.272
14248,0,0.667,0.333
14249,0.047,0.862,0.092
14250,0.095,0.905,0
14251,0,1,0
14252,0,0.756,0.244
14253,0,0.575,0.425
14254,0,1,0
14255,0,0.526,0.474
14256,0,1,0
14257,0,1,0
14258,0,1,0
14259,0,1,0
14260,0,1,0
14261,0,0,1
14262,0,0,1
14263,0,0,1
14264,0,0,1
14265,0,0,1
14266,0,0,1
14267,0,0,1
14268,0.268,0.732,0
14269,0,1,0
14270,0,1,0
14271,0.088,0.912,0
14272,0,1,0
14273,0.12,0.598,0.282
14274,0.208,0.676,0.116
14275,0.064,0.717,0.219
14276,0,0.581,0.419
14277,0,0,1
14278,0,0.488,0.512
14279,0,0.629,0.371
14280,0.183,0.534,0.282
14281,0.112,0.888,0
14282,0,0.701,0.299
14283,0,1,0
14284,0.138,0.716,0.146
14285,0,0.552,0.448
14286,0,0.829,0.171
14287,0,0.566,0.434
14288,0,0.704,0.296
14289,0.046,0.757,0.198
14290,0.102,0.527,0.371
14291,0.118,0.648,0.233
14292,0,0.632,0.368
14293,0,1,0
14294,0,0.769,0.231
14295,0.14,0.596,0.265
14296,0,0.363,0.637
14297,0,0.686,0.314
14298,0.065,0.588,0.347
14299,0,1,0
14300,0,1,0
14301,0,0.633,0.367
14302,0,0.798,0.202
14303,0,0.354,0.646
14304,0.088,0.542,0.369
14305,0.524,0.476,0
14306,0,0.567,0.433
14307,0,0.656,0.344
14308,0,0.286,0.714
14309,0.143,0.857,0
14310,0,1,0
14311,0,1,0
14312,0.128,0.872,0
14313,0,1,0
14314,0,1,0
14315,0,1,0
14316,0.074,0.836,0.09
14317,0,0.589,0.411
14318,0,0.333,0.667
14319,0,0.625,0.375
14320,0,0.576,0.424
14321,0,0.361,0.639
14322,0,0.584,0.416
14323,0,1,0
14324,0.143,0.649,0.208
14325,0,0.2,0.8
14326,0,0,1
14327,0,0.588,0.412
14328,0,0.651,0.349
14329,0,0.678,0.322
14330,0,0.209,0.791
14331,0,0.477,0.523
14332,0,0.653,0.347
14333,0,1,0
14334,0,1,0
14335,0.072,0.865,0.063
14336,0.271,0.729,0
14337,0,1,0
14338,0.087,0.913,0
14339,0,0.828,0.172
14340,0,0.708,0.292
14341,0,0.58,0.42
14342,0,1,0
14343,0.17,0.83,0
14344,0,0.807,0.193
14345,0,1,0
14346,0,0.714,0.286
14347,0,1,0
14348,0.133,0.826,0.041
14349,0.081,0.919,0
14350,0,0.501,0.499
14351,0.124,0.876,0
14352,0.129,0.871,0
14353,0,0.853,0.147
14354,0,0.881,0.119
14355,0,0.448,0.552
14356,0,0.578,0.422
14357,0,0.89,0.11
14358,0,0.748,0.252
14359,0,0.644,0.356
14360,0,0.351,0.649
14361,0,1,0
14362,0,0.894,0.106
14363,0.376,0.624,0
14364,0.273,0.727,0
14365,0,0.646,0.354
14366,0.21,0.79,0
14367,0.229,0.729,0.042
14368,0,0.725,0.275
14369,0,0.588,0.412
14370,0.036,0.552,0.413
14371,0,0.256,0.744
14372,0,0.691,0.309
14373,0,0.698,0.302
14374,0,0.8,0.2
14375,0,0.7,0.3
14376,0,0.635,0.365
14377,0,0.84,0.16
14378,0,1,0
14379,0.846,0.154,0
14380,0,0.787,0.213
14381,0.112,0.731,0.157
14382,0,1,0
14383,0.444,0.556,0
14384,0,0.804,0.196
14385,0,0,1
14386,0.235,0.765,0
14387,0.263,0.737,0
14388,0,0.769,0.231
14389,0,0.562,0.438
14390,0,1,0
14391,0,0,1
14392,0,0.491,0.509
14393,0,0.653,0.347
14394,0,0.811,0.189
14395,0,0.56,0.44
14396,0.147,0.588,0.265
14397,0,1,0
14398,0,0.9,0.1
14399,0,1,0
14400,0.232,0.768,0
14401,0,1,0
14402,0,0.829,0.171
14403,0,0.526,0.474
14404,0,0.65,0.35
14405,0.222,0.778,0
14406,0,0.828,0.172
14407,0,1,0
14408,0,1,0
14409,0,1,0
14410,0,1,0
14411,0.156,0.711,0.133
14412,0.688,0.312,0
14413,0,1,0
14414,0.219,0.781,0
14415,0,1,0
14416,0,1,0
14417,0,1,0
14418,0,1,0
14419,0.141,0.647,0.212
14420,0,0.468,0.532
14421,0,0.595,0.405
14422,0,0.452,0.548
14423,0.121,0.879,0
14424,0.274,0.726,0
14425,0.524,0.476,0
14426,0,0.855,0.145
14427,0.218,0.625,0.156
14428,0.167,0.833,0
14429,0.161,0.719,0.12
14430,0.209,0.791,0
14431,0,0.2,0.8
14432,0.21,0.79,0
14433,0,0.693,0.307
14434,0.181,0.819,0
14435,0.108,0.735,0.157
14436,0.141,0.759,0.1
14437,0.161,0.839,0
14438,0.253,0.623,0.125
14439,0,0.816,0.184
14440,0.205,0.795,0
14441,0.029,0.971,0
14442,0.323,0.677,0
14443,0.097,0.903,0
14444,0.037,0.898,0.065
14445,0.091,0.909,0
14446,0,1,0
14447,0,0.756,0.244
14448,0.171,0.829,0
14449,0,1,0
14450,0,1,0
14451,0,0.581,0.419
14452,0.05,0.696,0.254
14453,0,0.429,0.571
14454,0,0.549,0.451
14455,0,0.468,0.532
14456,0,0.527,0.473
14457,0,1,0
14458,0,1,0
14459,0.294,0.706,0
14460,0,0.656,0.344
14461,0.155,0.845,0
14462,0,0.425,0.575
14463,0,0.58,0.42
14464,0,1,0
14465,0,0.256,0.744
14466,0,0.52,0.48
14467,0,0.877,0.123
14468,0,0.495,0.505
14469,0.244,0.756,0
14470,0,0.184,0.816
14471,0.058,0.657,0.286
14472,0,0.543,0.457
14473,0.195,0.805,0
14474,0,0.254,0.746
14475,0,0.556,0.444
14476,0.145,0.855,0
14477,0,1,0
14478,0,0.523,0.477
14479,0,1,0
14480,0,1,0
14481,0,0.619,0.381
14482,0,0.667,0.333
14483,0,0.62,0.38
14484,0,0.682,0.318
14485,0,0.619,0.381
14486,0,0.408,0.592
14487,0,0.519,0.481
14488,0,0.406,0.594
14489,0,0.762,0.238
14490,0,0.796,0.204
14491,0,1,0
14492,0.096,0.904,0
14493,0,1,0
14494,0.064,0.9,0.035
14495,0.198,0.659,0.144
14496,0.15,0.494,0.356
14497,0,0.61,0.39
14498,0,0.563,0.437
14499,0,1,0
14500,0,1,0
14501,0,0.644,0.356
14502,0.173,0.641,0.186
14503,0.08,0.683,0.237
14504,0,1,0
14505,0,1,0
14506,0.091,0.909,0
14507,0,0.473,0.527
14508,0.157,0.643,0.2
14509,0,1,0
14510,0.067,0.933,0
14511,0,0.619,0.381
14512,0,0.66,0.34
14513,0,1,0
14514,0.118,0.487,0.396
14515,0.157,0.686,0.156
14516,0,1,0
14517,0.388,0.513,0.098
14518,0,0,1
14519,0,1,0
14520,0,1,0
14521,0,1,0
14522,0,1,0
14523,0.17,0.83,0
14524,0.374,0.626,0
14525,0,1,0
14526,0,1,0
14527,0,0.196,0.804
14528,0,0,1
14529,0,0,1
14530,0,0,1
14531,0,0,1
14532,0,0,1
14533,0,0,1
14534,0,0,1
14535,0,0.223,0.777
14536,0,0,1
14537,0,0,1
14538,0,0,1
14539,0,0.463,0.537
14540,0,0.606,0.394
14541,0,1,0
14542,0,0.734,0.266
14543,0.097,0.565,0.339
14544,0,0.423,0.577
14545,0.084,0.845,0.071
14546,0,0.741,0.259
14547,0.179,0.821,0
14548,0.049,0.842,0.109
14549,0,0.342,0.658
14550,0,1,0
14551,0,1,0
14552,0,1,0
14553,0,1,0
14554,0.316,0.684,0
14555,0,1,0
14556,0.113,0.625,0.262
14557,0,0.2,0.8
14558,0.299,0.701,0
14559,0,1,0
14560,0,0.213,0.787
14561,0,0.519,0.481
14562,0,1,0
14563,0,1,0
14564,0,1,0
14565,0,0.771,0.229
14566,0,0.519,0.481
14567,0.188,0.69,0.123
14568,0.451,0.549,0
14569,0.154,0.705,0.141
14570,0.141,0.859,0
14571,0,0.474,0.526
14572,0.102,0.695,0.203
14573,0.11,0.809,0.081
14574,0,1,0
14575,0,0.867,0.133
14576,0,0.575,0.425
14577,0.359,0.641,0
14578,0,0.423,0.577
14579,0,0.159,0.841
14580,0.28,0.349,0.372
14581,0.243,0.404,0.353
14582,0,0.225,0.775
14583,0,0.48,0.52
14584,0,0.303,0.697
14585,0,1,0
14586,0,0.556,0.444
14587,0,0.34,0.66
14588,0.216,0.611,0.174
14589,0.259,0.741,0
14590,0,1,0
14591,0,0.798,0.202
14592,0.219,0.781,0
14593,0,0.753,0.247
14594,0.224,0.678,0.097
14595,0,0.303,0.697
14596,0.445,0.555,0
14597,0,0.238,0.762
14598,0,0,1
14599,0,0.385,0.615
14600,0,0.353,0.647
14601,0,0.721,0.279
14602,0,1,0
14603,0,0.604,0.396
14604,0.514,0.198,0.287
14605,0,0.4,0.6
14606,0,0.196,0.804
14607,0,1,0
14608,0.371,0.629,0
14609,0,0.244,0.756
14610,0,0.402,0.598
14611,0,0.728,0.272
14612,0,0.242,0.758
14613,0,1,0
14614,0,1,0
14615,0.407,0.593,0
14616,0,0.429,0.571
14617,0,1,0
14618,0,0.127,0.873
14619,0,0.714,0.286
14620,0,0.385,0.615
14621,0,0.458,0.542
14622,0,0.847,0.153
14623,0.277,0.578,0.145
14624,0,1,0
14625,0,1,0
14626,0,1,0
14627,0.209,0.791,0
14628,0,1,0
14629,0,0.888,0.112
14630,0,0.818,0.182
14631,0,0.521,0.479
14632,0,1,0
14633,0,0.894,0.106
14634,0.123,0.877,0
14635,0,0.724,0.276
14636,0,0.511,0.489
14637,0,1,0
14638,0,0.526,0.474
14639,0,0.68,0.32
14640,0,0.289,0.711
14641,0,0.806,0.194
14642,0.059,0.847,0.094
14643,0,0.715,0.285
14644,0,0.408,0.592
14645,0,1,0
14646,0,1,0
14647,0,1,0
14648,0,0.373,0.627
14649,0.097,0.809,0.094
14650,0.119,0.881,0
14651,0,0.25,0.75
14652,0,0.364,0.636
14653,0.244,0.756,0
14654,0,0.423,0.577
14655,0,0.377,0.623
14656,0.12,0.828,0.052
14657,0.388,0.25,0.362
14658,0.756,0.244,0
14659,0,0.822,0.178
14660,0.22,0.78,0
14661,0,1,0
14662,0,1,0
14663,0,1,0
14664,0.19,0.81,0
14665,0.404,0.596,0
14666,0.17,0.83,0
14667,0,0.484,0.516
14668,0,1,0
14669,0,0.511,0.489
14670,0,0.752,0.248
14671,0.355,0.645,0
14672,0.394,0.606,0
14673,0,1,0
14674,0.101,0.845,0.054
14675,0,1,0
14676,0,1,0
14677,0,0.709,0.291
14678,0,1,0
14679,0,1,0
14680,0,1,0
14681,0.099,0.611,0.29
14682,0,0.808,0.192
14683,0,0.781,0.219
14684,0,1,0
14685,0,1,0
14686,0,0.788,0.212
14687,0,1,0
14688,0.355,0.645,0
14689,0.095,0.576,0.329
14690,0,0.61,0.39
14691,0.052,0.737,0.212
14692,0.157,0.756,0.087
14693,0,0.722,0.278
14694,0.47,0.53,0
14695,0,0,1
14696,0,0,1
14697,0,0,1
14698,0,0,1
14699,0,0,1
14700,0,0,1
14701,0,0,1
14702,0,0,1
14703,0.386,0.614,0
14704,0.224,0.776,0
14705,0,0.429,0.571
14706,0.121,0.879,0
14707,0.059,0.466,0.474
14708,0,0.573,0.427
14709,0,0.351,0.649
14710,0.209,0.334,0.457
14711,0,0.524,0.476
14712,0,0.755,0.245
14713,0.193,0.595,0.212
14714,0,0.398,0.602
14715,0,0.368,0.632
14716,0,0.388,0.612
14717,0.137,0.785,0.078
14718,0,0.213,0.787
14719,0.132,0.401,0.467
14720,0.053,0.564,0.383
14721,0.089,0.719,0.192
14722,0,1,0
14723,0,0.423,0.577
14724,0,0,1
14725,0,1,0
14726,0,0.884,0.116
14727,0,0.977,0.023
14728,0,1,0
14729,0.142,0.732,0.126
14730,0,0.452,0.548
14731,0.423,0.577,0
14732,0.157,0.579,0.264
14733,0,1,0
14734,0.241,0.759,0
14735,0.459,0.541,0
14736,0,0.687,0.313
14737,0,0.871,0.129
14738,0.053,0.504,0.443
14739,0.087,0.877,0.037
14740,0,0.67,0.33
14741,0,0.763,0.237
14742,0.119,0.477,0.403
14743,0,0.555,0.445
14744,0,1,0
14745,0,0.476,0.524
14746,0,0.583,0.417
14747,0,1,0
14748,0,0.854,0.146
14749,0,1,0
14750,0,0.692,0.308
14751,0,1,0
14752,0,1,0
14753,0,0.681,0.319
14754,0,0.828,0.172
14755,0,1,0
14756,0.188,0.812,0
14757,0.185,0.815,0
14758,0.258,0.53,0.212
14759,0.271,0.729,0
14760,0.127,0.804,0.07
14761,0,0.887,0.113
14762,0,1,0
14763,0.124,0.734,0.141
14764,0,0.313,0.687
14765,0,0,1
14766,0,0,1
14767,0,1,0
14768,0.492,0.508,0
14769,0,1,0
14770,0,1,0
14771,0,1,0
14772,0,1,0
14773,0,0.892,0.108
14774,0.831,0.169,0
14775,0,1,0
14776,0,1,0
14777,0,0.751,0.249
14778,0,1,0
14779,0,0.551,0.449
14780,0,0.754,0.246
14781,0,1,0
14782,0,0.868,0.132
14783,0,1,0
14784,0,0.789,0.211
14785,0.508,0.492,0
14786,0,0.588,0.412
14787,0.321,0.623,0.056
14788,0.128,0.733,0.139
14789,0.094,0.726,0.18
14790,0,0.585,0.415
14791,0,0.569,0.431
14792,0.4,0.462,0.138
14793,0.168,0.67,0.162
14794,0,0.623,0.377
14795,0,0,1
14796,0,1,0
14797,0.063,0.852,0.085
14798,0.133,0.667,0.2
14799,0,1,0
14800,0,0.849,0.151
14801,0,0.464,0.536
14802,0,1,0
14803,0,0.741,0.259
14804,0,1,0
14805,0,1,0
14806,0,1,0
14807,0,1,0
14808,0.202,0.798,0
14809,0,0.334,0.666
14810,0,0.313,0.687
14811,0.445,0.555,0
14812,0,0.72,0.28
14813,0,0.572,0.428
14814,0.267,0.733,0
14815,0,0.664,0.336
14816,0,0.525,0.475
14817,0,0.371,0.629
14818,0.164,0.697,0.139
14819,0,0.391,0.609
14820,0.101,0.899,0
14821,0,1,0
14822,0,1,0
14823,0,0.862,0.138
14824,0,1,0
14825,0,1,0
14826,0,1,0
14827,0.113,0.72,0.167
14828,0.335,0.59,0.075
14829,0.253,0.601,0.147
14830,0.064,0.699,0.237
14831,0.342,0.658,0
14832,0,1,0
14833,0,1,0
14834,0,1,0
14835,0.216,0.784,0
14836,0,1,0
14837,0.164,0.811,0.024
14838,0,0.897,0.103
14839,0.239,0.761,0
14840,0.456,0.08,0.464
14841,0,0.5,0.5
14842,0.101,0.553,0.346
14843,0.184,0.599,0.217
14844,0.851,0.149,0
14845,0,0.238,0.762
14846,0,0.625,0.375
14847,0,1,0
14848,0,0.621,0.379
14849,0,0.474,0.526
14850,0,1,0
14851,0,0.541,0.459
14852,0,0.823,0.177
14853,0.118,0.821,0.06
14854,0,0.635,0.365
14855,0.126,0.794,0.079
14856,0,0.903,0.097
14857,0,1,0
14858,0,0.519,0.481
14859,0,1,0
14860,0,0.484,0.516
14861,0,1,0
14862,0.211,0.719,0.07
14863,0.083,0.71,0.207
14864,0,0.471,0.529
14865,0.288,0.601,0.111
14866,0.078,0.746,0.176
14867,0,0.436,0.564
14868,0,0.147,0.853
14869,0,0,1
14870,0,0,1
14871,0,0,1
14872,0.125,0.433,0.442
14873,0,0.607,0.393
14874,0.196,0.804,0
14875,0.137,0.571,0.292
14876,0,0.922,0.078
14877,0,0.312,0.688
14878,0.276,0.724,0
14879,0,1,0
14880,0,1,0
14881,0,0.685,0.315
14882,0,0.461,0.539
14883,0,0.724,0.276
14884,0,0.526,0.474
14885,0,0.816,0.184
14886,0,0.83,0.17
14887,0,0.764,0.236
14888,0.368,0.632,0
14889,0,0.541,0.459
14890,0,0.408,0.592
14891,0,0.753,0.247
14892,0,1,0
14893,0,1,0
14894,0.174,0.76,0.066
14895,0.445,0.555,0
14896,0.183,0.817,0
14897,0.234,0.766,0
14898,0,1,0
14899,0,0,1
14900,0,1,0
14901,0,0.215,0.785
14902,0,0.513,0.487
14903,0,1,0
14904,0,0.781,0.219
14905,0.041,0.916,0.043
14906,0,0.455,0.545
14907,0,0,1
14908,0.166,0.648,0.185
14909,0,0,1
14910,0,0.484,0.516
14911,0.163,0.521,0.316
14912,1,0,0
14913,1,0,0
14914,0.052,0.948,0
14915,0,0.845,0.155
14916,0.063,0.567,0.37
14917,0,0,1
14918,0,0,1
14919,0,0,1
14920,0,0,1
14921,0,0,1
14922,0,1,0
14923,0,1,0
14924,0,0.247,0.753
14925,0,1,0
14926,0.206,0.735,0.059
14927,0,0.803,0.197
14928,0,0.549,0.451
14929,0,1,0
14930,0.246,0.754,0
14931,0,0.913,0.087
14932,0.143,0.857,0
14933,0.246,0.668,0.086
14934,0,0.884,0.116
14935,0,1,0
14936,0,0.76,0.24
14937,0,0.694,0.306
14938,0,0.677,0.323
14939,0,0.731,0.269
14940,0,0.741,0.259
14941,0,0.328,0.672
14942,0,0.504,0.496
14943,0,0.728,0.272
14944,0,1,0
14945,0,0.826,0.174
14946,0,1,0
14947,0,0.69,0.31
14948,0,1,0
14949,0.087,0.913,0
14950,0.177,0.376,0.447
14951,0,0.599,0.401
14952,0,0.508,0.492
14953,0,1,0
14954,0,0.465,0.535
14955,0.11,0.625,0.264
14956,0,0.611,0.389
14957,0,1,0
14958,0,0.694,0.306
14959,0,0,1
14960,0,0,1
14961,0,0,1
14962,0,0.508,0.492
14963,0,0,1
14964,0.445,0.555,0
14965,0,0,1
14966,0,0,1
14967,0,0.745,0.255
14968,0,1,0
14969,0,0.518,0.482
14970,0,0.765,0.235
14971,0,0.875,0.125
14972,0.17,0.717,0.113
14973,0,0.578,0.422
14974,0,0.559,0.441
14975,0,0.807,0.193
14976,0,0.351,0.649
14977,0,0.543,0.457
14978,0,1,0
14979,0,0.484,0.516
14980,0,1,0
14981,0,0.633,0.367
14982,0.085,0.77,0.145
14983,0.259,0.741,0
14984,0.205,0.542,0.253
14985,0.143,0.736,0.121
14986,0,1,0
14987,0,0.653,0.347
14988,0.108,0.69,0.202
14989,0,0.478,0.522
14990,0,0.458,0.542
14991,0,0.494,0.506
14992,0.078,0.922,0
14993,0,0.901,0.099
14994,0.144,0.817,0.039
14995,0,0.2,0.8
14996,0.087,0.794,0.118
14997,0.29,0.71,0
14998,0,1,0
14999,0,0.706,0.294
15000,0,0.127,0.873
15001,0,1,0
15002,0,0.472,0.528
15003,0,0.448,0.552
15004,0,0.42,0.58
15005,0,0.351,0.649
15006,0,1,0
15007,0.636,0.364,0
15008,0.167,0.432,0.401
15009,0.049,0.951,0
15010,0,0.256,0.744
15011,0,0.256,0.744
15012,0,0.429,0.571
15013,0,0.964,0.036
15014,0.099,0.901,0
15015,0,1,0
15016,0.268,0.732,0
15017,0.104,0.638,0.257
15018,0,0.446,0.554
15019,0,0.448,0.552
15020,0,1,0
15021,0,0.493,0.507
15022,0,1,0
15023,0,1,0
15024,0.105,0.796,0.099
15025,0,1,0
15026,0,0.684,0.316
15027,0.111,0.709,0.179
15028,0.098,0.855,0.048
15029,0.062,0.451,0.488
15030,0.085,0.784,0.132
15031,0,0.562,0.438
15032,0,1,0
15033,0,1,0
15034,0,0.837,0.163
15035,0.437,0.563,0
15036,0.061,0.688,0.251
15037,0,0.588,0.412
15038,0,0.825,0.175
15039,0.078,0.732,0.191
15040,0.151,0.849,0
15041,0,1,0
15042,0.292,0.708,0
15043,0,1,0
15044,0.192,0.622,0.186
15045,0,1,0
15046,0,0.385,0.615
15047,0,0.455,0.545
15048,0,0.523,0.477
15049,0.049,0.704,0.246
15050,0,0.484,0.516
15051,0,0.452,0.548
15052,0.355,0.523,0.122
15053,0,0.415,0.585
15054,0,0.351,0.649
15055,0,0.493,0.507
15056,0.331,0.203,0.466
15057,0.324,0.49,0.186
15058,0.105,0.565,0.331
15059,0,0.577,0.423
15060,0.26,0.558,0.181
15061,0.367,0.537,0.096
15062,0,0.824,0.176
15063,0,0,1
15064,0.18,0.82,0
15065,0,0.67,0.33
15066,0,1,0
15067,0,1,0
15068,0,1,0
15069,0,1,0
15070,0.158,0.842,0
15071,0,0.775,0.225
15072,0.052,0.926,0.022
15073,0,0.198,0.802
15074,0.333,0.46,0.207
15075,0,0.189,0.811
15076,0.252,0.538,0.21
15077,0.853,0.147,0
15078,0,0.544,0.456
15079,0,0.494,0.506
15080,0,0.667,0.333
15081,0,0.704,0.296
15082,0.181,0.772,0.047
15083,0,0.396,0.604
15084,0.122,0.878,0
15085,0,0.549,0.451
15086,0,0.49,0.51
15087,0,0.6,0.4
15088,0,0.625,0.375
15089,0.181,0.717,0.102
15090,0,0.556,0.444
15091,0.409,0.394,0.197
15092,0.168,0.35,0.482
15093,0,0.42,0.58
15094,0,0.617,0.383
15095,0,0.786,0.214
15096,0,0.417,0.583
15097,0,0.781,0.219
15098,0,0.543,0.457
15099,0,0,1
15100,0,0,1
15101,0,0,1
15102,0,1,0
15103,0,0.769,0.231
15104,0,0.48,0.52
15105,0,1,0
15106,0,0.83,0.17
15107,0,0.476,0.524
15108,0,1,0
15109,0,0.729,0.271
15110,0,1,0
15111,0,0.764,0.236
15112,0.138,0.862,0
15113,0.73,0.27,0
15114,0,1,0
15115,0.16,0.745,0.095
15116,0,0.568,0.432
15117,0,0.255,0.745
15118,0,0.328,0.672
15119,0.17,0.83,0
15120,0.338,0.554,0.108
15121,0.157,0.667,0.176
15122,0,0.707,0.293
15123,0,1,0
15124,0,1,0
15125,0,0.506,0.494
15126,0,0.634,0.366
15127,0,0.2,0.8
15128,0,0.2,0.8
15129,0,0.2,0.8
15130,0,0.91,0.09
15131,0,0.429,0.571
15132,0.196,0.804,0
15133,0,0.771,0.229
15134,0,0.564,0.436
15135,0,1,0
15136,0,0.2,0.8
